"Ano	Estado	Mês	Número	Período"
"2000	Ceará	Maio	7	01/01/2000"
"2001	Ceará	Maio	81	01/01/2001"
"2002	Ceará	Maio	10	01/01/2002"
"2003	Ceará	Maio	0	01/01/2003"
"2004	Ceará	Maio	3	01/01/2004"
"2005	Ceará	Maio	1	01/01/2005"
"2006	Ceará	Maio	0	01/01/2006"
"2007	Ceará	Maio	0	01/01/2007"
"2008	Ceará	Maio	0	01/01/2008"
"2009	Ceará	Maio	0	01/01/2009"
"2010	Ceará	Maio	2	01/01/2010"
"2011	Ceará	Maio	0	01/01/2011"
"2012	Ceará	Maio	19	01/01/2012"
"2013	Ceará	Maio	4	01/01/2013"
"2014	Ceará	Maio	4	01/01/2014"
"2015	Ceará	Maio	17	01/01/2015"
"2016	Ceará	Maio	8	01/01/2016"
"2017	Ceará	Maio	9	01/01/2017"
"1998	Ceará	Junho	1	01/01/1998"
"1999	Ceará	Junho	16	01/01/1999"
"2000	Ceará	Junho	16	01/01/2000"
"2001	Ceará	Junho	38	01/01/2001"
"2002	Ceará	Junho	13	01/01/2002"
"2003	Ceará	Junho	2	01/01/2003"
"2004	Ceará	Junho	1	01/01/2004"
"2005	Ceará	Junho	6	01/01/2005"
"2006	Ceará	Junho	0	01/01/2006"
"2007	Ceará	Junho	1	01/01/2007"
"2008	Ceará	Junho	1	01/01/2008"
"2009	Ceará	Junho	0	01/01/2009"
"2010	Ceará	Junho	3	01/01/2010"
"2011	Ceará	Junho	5	01/01/2011"
"2012	Ceará	Junho	28	01/01/2012"
"2013	Ceará	Junho	5	01/01/2013"
"2014	Ceará	Junho	19	01/01/2014"
"2015	Ceará	Junho	22	01/01/2015"
"2016	Ceará	Junho	45	01/01/2016"
"2017	Ceará	Junho	23	01/01/2017"
"1998	Ceará	Julho	76	01/01/1998"
"1999	Ceará	Julho	83	01/01/1999"
"2000	Ceará	Julho	18	01/01/2000"
"2001	Ceará	Julho	146	01/01/2001"
"2002	Ceará	Julho	12	01/01/2002"
"2003	Ceará	Julho	14	01/01/2003"
"2004	Ceará	Julho	16	01/01/2004"
"2005	Ceará	Julho	14	01/01/2005"
"2006	Ceará	Julho	1	01/01/2006"
"2007	Ceará	Julho	11	01/01/2007"
"2008	Ceará	Julho	3	01/01/2008"
"2009	Ceará	Julho	7	01/01/2009"
"2010	Ceará	Julho	44	01/01/2010"
"2011	Ceará	Julho	18	01/01/2011"
"2012	Ceará	Julho	50	01/01/2012"
"2013	Ceará	Julho	4	01/01/2013"
"2014	Ceará	Julho	47	01/01/2014"
"2015	Ceará	Julho	25	01/01/2015"
"2016	Ceará	Julho	124	01/01/2016"
"2017	Ceará	Julho	26	01/01/2017"
"1998	Ceará	Agosto	93	01/01/1998"
"1999	Ceará	Agosto	131	01/01/1999"
"2000	Ceará	Agosto	79	01/01/2000"
"2001	Ceará	Agosto	219	01/01/2001"
"2002	Ceará	Agosto	111	01/01/2002"
"2003	Ceará	Agosto	109	01/01/2003"
"2004	Ceará	Agosto	61	01/01/2004"
"2005	Ceará	Agosto	51	01/01/2005"
"2006	Ceará	Agosto	50	01/01/2006"
"2007	Ceará	Agosto	182	01/01/2007"
"2008	Ceará	Agosto	32	01/01/2008"
"2009	Ceará	Agosto	26	01/01/2009"
"2010	Ceará	Agosto	202	01/01/2010"
"2011	Ceará	Agosto	53	01/01/2011"
"2012	Ceará	Agosto	278	01/01/2012"
"2013	Ceará	Agosto	32	01/01/2013"
"2014	Ceará	Agosto	155	01/01/2014"
"2015	Ceará	Agosto	127	01/01/2015"
"2016	Ceará	Agosto	293	01/01/2016"
"2017	Ceará	Agosto	121	01/01/2017"
"1998	Ceará	Setembro	590	01/01/1998"
"1999	Ceará	Setembro	124	01/01/1999"
"2000	Ceará	Setembro	127	01/01/2000"
"2001	Ceará	Setembro	801	01/01/2001"
"2002	Ceará	Setembro	172	01/01/2002"
"2003	Ceará	Setembro	384	01/01/2003"
"2004	Ceará	Setembro	144	01/01/2004"
"2005	Ceará	Setembro	185	01/01/2005"
"2006	Ceará	Setembro	237	01/01/2006"
"2007	Ceará	Setembro	241	01/01/2007"
"2008	Ceará	Setembro	177	01/01/2008"
"2009	Ceará	Setembro	101	01/01/2009"
"2010	Ceará	Setembro	357	01/01/2010"
"2011	Ceará	Setembro	239	01/01/2011"
"2012	Ceará	Setembro	609	01/01/2012"
"2013	Ceará	Setembro	177	01/01/2013"
"2014	Ceará	Setembro	155	01/01/2014"
"2015	Ceará	Setembro	214	01/01/2015"
"2016	Ceará	Setembro	370	01/01/2016"
"2017	Ceará	Setembro	505	01/01/2017"
"1998	Ceará	Outubro	1.014	01/01/1998"
"1999	Ceará	Outubro	309	01/01/1999"
"2000	Ceará	Outubro	875	01/01/2000"
"2001	Ceará	Outubro	2.045	01/01/2001"
"2002	Ceará	Outubro	1.606	01/01/2002"
"2003	Ceará	Outubro	1.761	01/01/2003"
"2004	Ceará	Outubro	1.217	01/01/2004"
"2005	Ceará	Outubro	1.378	01/01/2005"
"2006	Ceará	Outubro	581	01/01/2006"
"2007	Ceará	Outubro	964	01/01/2007"
"2008	Ceará	Outubro	816	01/01/2008"
"2009	Ceará	Outubro	435	01/01/2009"
"2010	Ceará	Outubro	502	01/01/2010"
"2011	Ceará	Outubro	415	01/01/2011"
"2012	Ceará	Outubro	1.104	01/01/2012"
"2013	Ceará	Outubro	466	01/01/2013"
"2014	Ceará	Outubro	517	01/01/2014"
"2015	Ceará	Outubro	658	01/01/2015"
"2016	Ceará	Outubro	1.310	01/01/2016"
"2017	Ceará	Outubro	949	01/01/2017"
"1998	Ceará	Novembro	575	01/01/1998"
"1999	Ceará	Novembro	524	01/01/1999"
"2000	Ceará	Novembro	669	01/01/2000"
"2001	Ceará	Novembro	2.456	01/01/2001"
"2002	Ceará	Novembro	2.715	01/01/2002"
"2003	Ceará	Novembro	3.327	01/01/2003"
"2004	Ceará	Novembro	2.900	01/01/2004"
"2005	Ceará	Novembro	2.483	01/01/2005"
"2006	Ceará	Novembro	1.012	01/01/2006"
"2007	Ceará	Novembro	1.443	01/01/2007"
"2008	Ceará	Novembro	1.753	01/01/2008"
"2009	Ceará	Novembro	1.653	01/01/2009"
"2010	Ceará	Novembro	1.652	01/01/2010"
"2011	Ceará	Novembro	1.561	01/01/2011"
"2012	Ceará	Novembro	995	01/01/2012"
"2013	Ceará	Novembro	1.081	01/01/2013"
"2014	Ceará	Novembro	829	01/01/2014"
"2015	Ceará	Novembro	1.081	01/01/2015"
"2016	Ceará	Novembro	1.328	01/01/2016"
"2017	Ceará	Novembro	812	01/01/2017"
"1998	Ceará	Dezembro	276	01/01/1998"
"1999	Ceará	Dezembro	397	01/01/1999"
"2000	Ceará	Dezembro	389	01/01/2000"
"2001	Ceará	Dezembro	545	01/01/2001"
"2002	Ceará	Dezembro	1.787	01/01/2002"
"2003	Ceará	Dezembro	2.436	01/01/2003"
"2004	Ceará	Dezembro	3.158	01/01/2004"
"2005	Ceará	Dezembro	1.360	01/01/2005"
"2006	Ceará	Dezembro	1.161	01/01/2006"
"2007	Ceará	Dezembro	1.177	01/01/2007"
"2008	Ceará	Dezembro	1.655	01/01/2008"
"2009	Ceará	Dezembro	1.987	01/01/2009"
"2010	Ceará	Dezembro	578	01/01/2010"
"2011	Ceará	Dezembro	1.441	01/01/2011"
"2012	Ceará	Dezembro	631	01/01/2012"
"2013	Ceará	Dezembro	956	01/01/2013"
"2014	Ceará	Dezembro	643	01/01/2014"
"2015	Ceará	Dezembro	1.021	01/01/2015"
"2016	Ceará	Dezembro	819	01/01/2016"
"1998	Distrito Federal	Janeiro	0	01/01/1998"
"1999	Distrito Federal	Janeiro	0	01/01/1999"
"2000	Distrito Federal	Janeiro	0	01/01/2000"
"2001	Distrito Federal	Janeiro	0	01/01/2001"
"2002	Distrito Federal	Janeiro	0	01/01/2002"
"2003	Distrito Federal	Janeiro	0	01/01/2003"
"2004	Distrito Federal	Janeiro	0	01/01/2004"
"2005	Distrito Federal	Janeiro	0	01/01/2005"
"2006	Distrito Federal	Janeiro	0	01/01/2006"
"2007	Distrito Federal	Janeiro	0	01/01/2007"
"2008	Distrito Federal	Janeiro	0	01/01/2008"
"2009	Distrito Federal	Janeiro	1	01/01/2009"
"2010	Distrito Federal	Janeiro	2	01/01/2010"
"2011	Distrito Federal	Janeiro	2	01/01/2011"
"2012	Distrito Federal	Janeiro	0	01/01/2012"
"2013	Distrito Federal	Janeiro	0	01/01/2013"
"2014	Distrito Federal	Janeiro	0	01/01/2014"
"2015	Distrito Federal	Janeiro	1	01/01/2015"
"2016	Distrito Federal	Janeiro	1	01/01/2016"
"2017	Distrito Federal	Janeiro	1	01/01/2017"
"1998	Distrito Federal	Fevereiro	0	01/01/1998"
"1999	Distrito Federal	Fevereiro	2	01/01/1999"
"2000	Distrito Federal	Fevereiro	0	01/01/2000"
"2001	Distrito Federal	Fevereiro	1	01/01/2001"
"2002	Distrito Federal	Fevereiro	0	01/01/2002"
"2003	Distrito Federal	Fevereiro	1	01/01/2003"
"2004	Distrito Federal	Fevereiro	0	01/01/2004"
"2005	Distrito Federal	Fevereiro	0	01/01/2005"
"2006	Distrito Federal	Fevereiro	0	01/01/2006"
"2007	Distrito Federal	Fevereiro	0	01/01/2007"
"2008	Distrito Federal	Fevereiro	0	01/01/2008"
"2009	Distrito Federal	Fevereiro	0	01/01/2009"
"2010	Distrito Federal	Fevereiro	4	01/01/2010"
"2011	Distrito Federal	Fevereiro	1	01/01/2011"
"2012	Distrito Federal	Fevereiro	0	01/01/2012"
"2013	Distrito Federal	Fevereiro	1	01/01/2013"
"2014	Distrito Federal	Fevereiro	1	01/01/2014"
"2015	Distrito Federal	Fevereiro	0	01/01/2015"
"2016	Distrito Federal	Fevereiro	2	01/01/2016"
"2017	Distrito Federal	Fevereiro	0	01/01/2017"
"1998	Distrito Federal	Março	0	01/01/1998"
"1999	Distrito Federal	Março	0	01/01/1999"
"2000	Distrito Federal	Março	0	01/01/2000"
"2001	Distrito Federal	Março	0	01/01/2001"
"2002	Distrito Federal	Março	0	01/01/2002"
"2003	Distrito Federal	Março	0	01/01/2003"
"2004	Distrito Federal	Março	0	01/01/2004"
"2005	Distrito Federal	Março	0	01/01/2005"
"2006	Distrito Federal	Março	0	01/01/2006"
"2007	Distrito Federal	Março	1	01/01/2007"
"2008	Distrito Federal	Março	2	01/01/2008"
"2009	Distrito Federal	Março	0	01/01/2009"
"2010	Distrito Federal	Março	0	01/01/2010"
"2011	Distrito Federal	Março	0	01/01/2011"
"2012	Distrito Federal	Março	0	01/01/2012"
"2013	Distrito Federal	Março	1	01/01/2013"
"2014	Distrito Federal	Março	1	01/01/2014"
"2015	Distrito Federal	Março	0	01/01/2015"
"2016	Distrito Federal	Março	1	01/01/2016"
"2017	Distrito Federal	Março	0	01/01/2017"
"1998	Distrito Federal	Abril	0	01/01/1998"
"1999	Distrito Federal	Abril	0	01/01/1999"
"2000	Distrito Federal	Abril	0	01/01/2000"
"2001	Distrito Federal	Abril	0	01/01/2001"
"2002	Distrito Federal	Abril	1	01/01/2002"
"2003	Distrito Federal	Abril	0	01/01/2003"
"2004	Distrito Federal	Abril	1	01/01/2004"
"2005	Distrito Federal	Abril	0	01/01/2005"
"2006	Distrito Federal	Abril	0	01/01/2006"
"2007	Distrito Federal	Abril	0	01/01/2007"
"2008	Distrito Federal	Abril	1	01/01/2008"
"2009	Distrito Federal	Abril	0	01/01/2009"
"2010	Distrito Federal	Abril	8	01/01/2010"
"2011	Distrito Federal	Abril	1	01/01/2011"
"2012	Distrito Federal	Abril	4	01/01/2012"
"2013	Distrito Federal	Abril	1	01/01/2013"
"2014	Distrito Federal	Abril	2	01/01/2014"
"2015	Distrito Federal	Abril	0	01/01/2015"
"2016	Distrito Federal	Abril	5	01/01/2016"
"2017	Distrito Federal	Abril	1	01/01/2017"
"1998	Distrito Federal	Maio	0	01/01/1998"
"1999	Distrito Federal	Maio	0	01/01/1999"
"2000	Distrito Federal	Maio	2	01/01/2000"
"2001	Distrito Federal	Maio	0	01/01/2001"
"2002	Distrito Federal	Maio	1	01/01/2002"
"2003	Distrito Federal	Maio	0	01/01/2003"
"2004	Distrito Federal	Maio	9	01/01/2004"
"2005	Distrito Federal	Maio	2	01/01/2005"
"2006	Distrito Federal	Maio	3	01/01/2006"
"2007	Distrito Federal	Maio	4	01/01/2007"
"2008	Distrito Federal	Maio	6	01/01/2008"
"2009	Distrito Federal	Maio	9	01/01/2009"
"2010	Distrito Federal	Maio	23	01/01/2010"
"2011	Distrito Federal	Maio	3	01/01/2011"
"2012	Distrito Federal	Maio	0	01/01/2012"
"2013	Distrito Federal	Maio	2	01/01/2013"
"2014	Distrito Federal	Maio	9	01/01/2014"
"2015	Distrito Federal	Maio	2	01/01/2015"
"2016	Distrito Federal	Maio	15	01/01/2016"
"2017	Distrito Federal	Maio	6	01/01/2017"
"1998	Distrito Federal	Junho	2	01/01/1998"
"1999	Distrito Federal	Junho	3	01/01/1999"
"2000	Distrito Federal	Junho	1	01/01/2000"
"2001	Distrito Federal	Junho	3	01/01/2001"
"2002	Distrito Federal	Junho	7	01/01/2002"
"2003	Distrito Federal	Junho	11	01/01/2003"
"2004	Distrito Federal	Junho	6	01/01/2004"
"2005	Distrito Federal	Junho	3	01/01/2005"
"2006	Distrito Federal	Junho	2	01/01/2006"
"2007	Distrito Federal	Junho	21	01/01/2007"
"2008	Distrito Federal	Junho	0	01/01/2008"
"2009	Distrito Federal	Junho	4	01/01/2009"
"2010	Distrito Federal	Junho	21	01/01/2010"
"2011	Distrito Federal	Junho	18	01/01/2011"
"2012	Distrito Federal	Junho	6	01/01/2012"
"2013	Distrito Federal	Junho	4	01/01/2013"
"2014	Distrito Federal	Junho	6	01/01/2014"
"2015	Distrito Federal	Junho	1	01/01/2015"
"2016	Distrito Federal	Junho	42	01/01/2016"
"2017	Distrito Federal	Junho	23	01/01/2017"
"1998	Distrito Federal	Julho	17	01/01/1998"
"1999	Distrito Federal	Julho	4	01/01/1999"
"2000	Distrito Federal	Julho	15	01/01/2000"
"2001	Distrito Federal	Julho	22	01/01/2001"
"2002	Distrito Federal	Julho	33	01/01/2002"
"2003	Distrito Federal	Julho	19	01/01/2003"
"2004	Distrito Federal	Julho	37	01/01/2004"
"2005	Distrito Federal	Julho	24	01/01/2005"
"2006	Distrito Federal	Julho	10	01/01/2006"
"2007	Distrito Federal	Julho	25	01/01/2007"
"2008	Distrito Federal	Julho	12	01/01/2008"
"2009	Distrito Federal	Julho	33	01/01/2009"
"2010	Distrito Federal	Julho	85	01/01/2010"
"2011	Distrito Federal	Julho	53	01/01/2011"
"2012	Distrito Federal	Julho	29	01/01/2012"
"2013	Distrito Federal	Julho	22	01/01/2013"
"2014	Distrito Federal	Julho	27	01/01/2014"
"2015	Distrito Federal	Julho	15	01/01/2015"
"2016	Distrito Federal	Julho	79	01/01/2016"
"2017	Distrito Federal	Julho	44	01/01/2017"
"1998	Distrito Federal	Agosto	48	01/01/1998"
"1999	Distrito Federal	Agosto	16	01/01/1999"
"2000	Distrito Federal	Agosto	9	01/01/2000"
"2001	Distrito Federal	Agosto	25	01/01/2001"
"2002	Distrito Federal	Agosto	53	01/01/2002"
"2003	Distrito Federal	Agosto	36	01/01/2003"
"2004	Distrito Federal	Agosto	108	01/01/2004"
"2005	Distrito Federal	Agosto	20	01/01/2005"
"2006	Distrito Federal	Agosto	40	01/01/2006"
"2007	Distrito Federal	Agosto	137	01/01/2007"
"2008	Distrito Federal	Agosto	30	01/01/2008"
"2009	Distrito Federal	Agosto	37	01/01/2009"
"2010	Distrito Federal	Agosto	159	01/01/2010"
"2011	Distrito Federal	Agosto	61	01/01/2011"
"2012	Distrito Federal	Agosto	55	01/01/2012"
"2013	Distrito Federal	Agosto	34	01/01/2013"
"2014	Distrito Federal	Agosto	99	01/01/2014"
"2015	Distrito Federal	Agosto	53	01/01/2015"
"2016	Distrito Federal	Agosto	29	01/01/2016"
"2017	Distrito Federal	Agosto	147	01/01/2017"
"1998	Distrito Federal	Setembro	33	01/01/1998"
"1999	Distrito Federal	Setembro	12	01/01/1999"
"2000	Distrito Federal	Setembro	3	01/01/2000"
"2001	Distrito Federal	Setembro	12	01/01/2001"
"2002	Distrito Federal	Setembro	33	01/01/2002"
"2003	Distrito Federal	Setembro	17	01/01/2003"
"2004	Distrito Federal	Setembro	100	01/01/2004"
"2005	Distrito Federal	Setembro	23	01/01/2005"
"2006	Distrito Federal	Setembro	20	01/01/2006"
"2007	Distrito Federal	Setembro	73	01/01/2007"
"2008	Distrito Federal	Setembro	54	01/01/2008"
"2009	Distrito Federal	Setembro	5	01/01/2009"
"2010	Distrito Federal	Setembro	196	01/01/2010"
"2011	Distrito Federal	Setembro	133	01/01/2011"
"2012	Distrito Federal	Setembro	64	01/01/2012"
"2013	Distrito Federal	Setembro	31	01/01/2013"
"2014	Distrito Federal	Setembro	72	01/01/2014"
"2015	Distrito Federal	Setembro	76	01/01/2015"
"2016	Distrito Federal	Setembro	58	01/01/2016"
"2017	Distrito Federal	Setembro	122	01/01/2017"
"1998	Distrito Federal	Outubro	3	01/01/1998"
"1999	Distrito Federal	Outubro	8	01/01/1999"
"2000	Distrito Federal	Outubro	18	01/01/2000"
"2001	Distrito Federal	Outubro	0	01/01/2001"
"2002	Distrito Federal	Outubro	19	01/01/2002"
"2003	Distrito Federal	Outubro	12	01/01/2003"
"2004	Distrito Federal	Outubro	18	01/01/2004"
"2005	Distrito Federal	Outubro	18	01/01/2005"
"2006	Distrito Federal	Outubro	1	01/01/2006"
"2007	Distrito Federal	Outubro	13	01/01/2007"
"2008	Distrito Federal	Outubro	6	01/01/2008"
"2009	Distrito Federal	Outubro	3	01/01/2009"
"2010	Distrito Federal	Outubro	6	01/01/2010"
"2011	Distrito Federal	Outubro	0	01/01/2011"
"2012	Distrito Federal	Outubro	15	01/01/2012"
"2013	Distrito Federal	Outubro	3	01/01/2013"
"2014	Distrito Federal	Outubro	34	01/01/2014"
"2015	Distrito Federal	Outubro	21	01/01/2015"
"2016	Distrito Federal	Outubro	9	01/01/2016"
"2017	Distrito Federal	Outubro	66	01/01/2017"
"1998	Distrito Federal	Novembro	0	01/01/1998"
"1999	Distrito Federal	Novembro	1	01/01/1999"
"2000	Distrito Federal	Novembro	0	01/01/2000"
"2001	Distrito Federal	Novembro	0	01/01/2001"
"2002	Distrito Federal	Novembro	1	01/01/2002"
"2003	Distrito Federal	Novembro	0	01/01/2003"
"2004	Distrito Federal	Novembro	0	01/01/2004"
"2005	Distrito Federal	Novembro	2	01/01/2005"
"2006	Distrito Federal	Novembro	0	01/01/2006"
"2007	Distrito Federal	Novembro	0	01/01/2007"
"2008	Distrito Federal	Novembro	4	01/01/2008"
"2009	Distrito Federal	Novembro	0	01/01/2009"
"2010	Distrito Federal	Novembro	0	01/01/2010"
"2011	Distrito Federal	Novembro	1	01/01/2011"
"2012	Distrito Federal	Novembro	0	01/01/2012"
"2013	Distrito Federal	Novembro	0	01/01/2013"
"2014	Distrito Federal	Novembro	0	01/01/2014"
"2015	Distrito Federal	Novembro	3	01/01/2015"
"2016	Distrito Federal	Novembro	1	01/01/2016"
"2017	Distrito Federal	Novembro	0	01/01/2017"
"1998	Distrito Federal	Dezembro	0	01/01/1998"
"1999	Distrito Federal	Dezembro	0	01/01/1999"
"2000	Distrito Federal	Dezembro	0	01/01/2000"
"2001	Distrito Federal	Dezembro	1	01/01/2001"
"2002	Distrito Federal	Dezembro	1	01/01/2002"
"2003	Distrito Federal	Dezembro	0	01/01/2003"
"2004	Distrito Federal	Dezembro	0	01/01/2004"
"2005	Distrito Federal	Dezembro	0	01/01/2005"
"2006	Distrito Federal	Dezembro	0	01/01/2006"
"2007	Distrito Federal	Dezembro	0	01/01/2007"
"2008	Distrito Federal	Dezembro	0	01/01/2008"
"2009	Distrito Federal	Dezembro	0	01/01/2009"
"2010	Distrito Federal	Dezembro	1	01/01/2010"
"2011	Distrito Federal	Dezembro	0	01/01/2011"
"2012	Distrito Federal	Dezembro	0	01/01/2012"
"2013	Distrito Federal	Dezembro	2	01/01/2013"
"2014	Distrito Federal	Dezembro	0	01/01/2014"
"2015	Distrito Federal	Dezembro	0	01/01/2015"
"2016	Distrito Federal	Dezembro	0	01/01/2016"
"1998	Espírito Santo	Janeiro	0	01/01/1998"
"1999	Espírito Santo	Janeiro	33	01/01/1999"
"2000	Espírito Santo	Janeiro	5	01/01/2000"
"2001	Espírito Santo	Janeiro	1	01/01/2001"
"2002	Espírito Santo	Janeiro	2	01/01/2002"
"2003	Espírito Santo	Janeiro	4	01/01/2003"
"2004	Espírito Santo	Janeiro	1	01/01/2004"
"2005	Espírito Santo	Janeiro	4	01/01/2005"
"2006	Espírito Santo	Janeiro	13	01/01/2006"
"2007	Espírito Santo	Janeiro	0	01/01/2007"
"2008	Espírito Santo	Janeiro	12	01/01/2008"
"2009	Espírito Santo	Janeiro	4	01/01/2009"
"2010	Espírito Santo	Janeiro	52	01/01/2010"
"2011	Espírito Santo	Janeiro	3	01/01/2011"
"2012	Espírito Santo	Janeiro	1	01/01/2012"
"2013	Espírito Santo	Janeiro	10	01/01/2013"
"2014	Espírito Santo	Janeiro	11	01/01/2014"
"2015	Espírito Santo	Janeiro	76	01/01/2015"
"2016	Espírito Santo	Janeiro	43	01/01/2016"
"2017	Espírito Santo	Janeiro	13	01/01/2017"
"1998	Espírito Santo	Fevereiro	0	01/01/1998"
"1999	Espírito Santo	Fevereiro	10	01/01/1999"
"2000	Espírito Santo	Fevereiro	5	01/01/2000"
"2001	Espírito Santo	Fevereiro	5	01/01/2001"
"2002	Espírito Santo	Fevereiro	4	01/01/2002"
"2003	Espírito Santo	Fevereiro	11	01/01/2003"
"2004	Espírito Santo	Fevereiro	5	01/01/2004"
"2005	Espírito Santo	Fevereiro	1	01/01/2005"
"2006	Espírito Santo	Fevereiro	45	01/01/2006"
"2007	Espírito Santo	Fevereiro	3	01/01/2007"
"2008	Espírito Santo	Fevereiro	20	01/01/2008"
"2009	Espírito Santo	Fevereiro	12	01/01/2009"
"2010	Espírito Santo	Fevereiro	15	01/01/2010"
"2011	Espírito Santo	Fevereiro	42	01/01/2011"
"2012	Espírito Santo	Fevereiro	25	01/01/2012"
"2013	Espírito Santo	Fevereiro	15	01/01/2013"
"2014	Espírito Santo	Fevereiro	17	01/01/2014"
"2015	Espírito Santo	Fevereiro	60	01/01/2015"
"2016	Espírito Santo	Fevereiro	24	01/01/2016"
"2017	Espírito Santo	Fevereiro	8	01/01/2017"
"1998	Espírito Santo	Março	0	01/01/1998"
"1999	Espírito Santo	Março	8	01/01/1999"
"2000	Espírito Santo	Março	1	01/01/2000"
"2001	Espírito Santo	Março	2	01/01/2001"
"2002	Espírito Santo	Março	4	01/01/2002"
"2003	Espírito Santo	Março	28	01/01/2003"
"2004	Espírito Santo	Março	3	01/01/2004"
"2005	Espírito Santo	Março	3	01/01/2005"
"2006	Espírito Santo	Março	14	01/01/2006"
"2007	Espírito Santo	Março	9	01/01/2007"
"2008	Espírito Santo	Março	5	01/01/2008"
"2009	Espírito Santo	Março	11	01/01/2009"
"2010	Espírito Santo	Março	3	01/01/2010"
"2011	Espírito Santo	Março	5	01/01/2011"
"2012	Espírito Santo	Março	35	01/01/2012"
"2013	Espírito Santo	Março	13	01/01/2013"
"2014	Espírito Santo	Março	15	01/01/2014"
"2015	Espírito Santo	Março	25	01/01/2015"
"2016	Espírito Santo	Março	107	01/01/2016"
"2017	Espírito Santo	Março	9	01/01/2017"
"1998	Espírito Santo	Abril	0	01/01/1998"
"1999	Espírito Santo	Abril	2	01/01/1999"
"2000	Espírito Santo	Abril	3	01/01/2000"
"2001	Espírito Santo	Abril	2	01/01/2001"
"2002	Espírito Santo	Abril	2	01/01/2002"
"2003	Espírito Santo	Abril	22	01/01/2003"
"2004	Espírito Santo	Abril	0	01/01/2004"
"2005	Espírito Santo	Abril	4	01/01/2005"
"2006	Espírito Santo	Abril	1	01/01/2006"
"2007	Espírito Santo	Abril	2	01/01/2007"
"2008	Espírito Santo	Abril	8	01/01/2008"
"2009	Espírito Santo	Abril	8	01/01/2009"
"2010	Espírito Santo	Abril	7	01/01/2010"
"2011	Espírito Santo	Abril	3	01/01/2011"
"2012	Espírito Santo	Abril	74	01/01/2012"
"2013	Espírito Santo	Abril	16	01/01/2013"
"2014	Espírito Santo	Abril	15	01/01/2014"
"2015	Espírito Santo	Abril	33	01/01/2015"
"2016	Espírito Santo	Abril	57	01/01/2016"
"2017	Espírito Santo	Abril	7	01/01/2017"
"1998	Espírito Santo	Maio	0	01/01/1998"
"1999	Espírito Santo	Maio	16	01/01/1999"
"2000	Espírito Santo	Maio	2	01/01/2000"
"2001	Espírito Santo	Maio	8	01/01/2001"
"2002	Espírito Santo	Maio	5	01/01/2002"
"2003	Espírito Santo	Maio	1	01/01/2003"
"2004	Espírito Santo	Maio	0	01/01/2004"
"2005	Espírito Santo	Maio	5	01/01/2005"
"2006	Espírito Santo	Maio	0	01/01/2006"
"2007	Espírito Santo	Maio	1	01/01/2007"
"2008	Espírito Santo	Maio	2	01/01/2008"
"2009	Espírito Santo	Maio	7	01/01/2009"
"2010	Espírito Santo	Maio	3	01/01/2010"
"2011	Espírito Santo	Maio	2	01/01/2011"
"2012	Espírito Santo	Maio	20	01/01/2012"
"2013	Espírito Santo	Maio	14	01/01/2013"
"2014	Espírito Santo	Maio	18	01/01/2014"
"2015	Espírito Santo	Maio	17	01/01/2015"
"2016	Espírito Santo	Maio	48	01/01/2016"
"2017	Espírito Santo	Maio	10	01/01/2017"
"1998	Espírito Santo	Junho	6	01/01/1998"
"1999	Espírito Santo	Junho	6	01/01/1999"
"2000	Espírito Santo	Junho	9	01/01/2000"
"2001	Espírito Santo	Junho	9	01/01/2001"
"2002	Espírito Santo	Junho	18	01/01/2002"
"2003	Espírito Santo	Junho	19	01/01/2003"
"2004	Espírito Santo	Junho	3	01/01/2004"
"2005	Espírito Santo	Junho	8	01/01/2005"
"2006	Espírito Santo	Junho	5	01/01/2006"
"2007	Espírito Santo	Junho	4	01/01/2007"
"2008	Espírito Santo	Junho	4	01/01/2008"
"2009	Espírito Santo	Junho	12	01/01/2009"
"2010	Espírito Santo	Junho	3	01/01/2010"
"2011	Espírito Santo	Junho	7	01/01/2011"
"2012	Espírito Santo	Junho	15	01/01/2012"
"2013	Espírito Santo	Junho	22	01/01/2013"
"2014	Espírito Santo	Junho	9	01/01/2014"
"2015	Espírito Santo	Junho	18	01/01/2015"
"2016	Espírito Santo	Junho	49	01/01/2016"
"2017	Espírito Santo	Junho	37	01/01/2017"
"1998	Espírito Santo	Julho	37	01/01/1998"
"1999	Espírito Santo	Julho	9	01/01/1999"
"2000	Espírito Santo	Julho	16	01/01/2000"
"2001	Espírito Santo	Julho	12	01/01/2001"
"2002	Espírito Santo	Julho	9	01/01/2002"
"2003	Espírito Santo	Julho	27	01/01/2003"
"2004	Espírito Santo	Julho	4	01/01/2004"
"2005	Espírito Santo	Julho	9	01/01/2005"
"2006	Espírito Santo	Julho	11	01/01/2006"
"2007	Espírito Santo	Julho	13	01/01/2007"
"2008	Espírito Santo	Julho	5	01/01/2008"
"2009	Espírito Santo	Julho	25	01/01/2009"
"2010	Espírito Santo	Julho	5	01/01/2010"
"2011	Espírito Santo	Julho	18	01/01/2011"
"2012	Espírito Santo	Julho	35	01/01/2012"
"2013	Espírito Santo	Julho	20	01/01/2013"
"2014	Espírito Santo	Julho	17	01/01/2014"
"2015	Espírito Santo	Julho	30	01/01/2015"
"2016	Espírito Santo	Julho	42	01/01/2016"
"2017	Espírito Santo	Julho	3	01/01/2017"
"1998	Espírito Santo	Agosto	38	01/01/1998"
"1999	Espírito Santo	Agosto	60	01/01/1999"
